,store_id,item_id,wm_yr_wk,sell_price
473551,CA_1,FOODS_2_233,11307,4.48
1548739,CA_3,HOUSEHOLD_1_401,11306,9.47
3872051,TX_2,FOODS_2_180,11604,2.0
1502311,CA_3,HOUSEHOLD_1_176,11440,3.98
5550885,WI_2,HOBBIES_1_375,11208,9.88
5423775,WI_1,FOODS_3_627,11121,2.58
6163649,WI_3,HOBBIES_1_080,11301,0.58
180182,CA_1,HOUSEHOLD_1_228,11411,9.47
1579165,CA_3,HOUSEHOLD_2_003,11311,9.47
49130,CA_1,HOBBIES_1_220,11445,3.12
3730536,TX_2,HOUSEHOLD_2_317,11314,4.44
5515027,WI_2,HOBBIES_1_218,11316,10.58
6406290,WI_3,HOUSEHOLD_2_063,11407,4.97
2301481,CA_4,HOUSEHOLD_2_154,11423,1.88
5594903,WI_2,HOBBIES_2_146,11617,1.97
5983974,WI_2,FOODS_3_100,11230,3.98
1740604,CA_3,FOODS_1_171,11501,4.73
3055720,TX_1,HOUSEHOLD_2_429,11202,5.94
4667798,TX_3,FOODS_3_234,11107,0.16
1053374,CA_2,HOUSEHOLD_2_466,11545,6.97
4586680,TX_3,FOODS_2_268,11547,3.76
59034,CA_1,HOBBIES_1_264,11507,4.47
5834707,WI_2,FOODS_1_012,11521,7.18
3159707,TX_1,FOODS_2_131,11618,5.98
1886145,CA_3,FOODS_3_194,11116,2.78
953312,CA_2,HOUSEHOLD_2_043,11538,4.97
335357,CA_1,HOUSEHOLD_2_376,11616,3.82
4961600,WI_1,HOUSEHOLD_1_143,11431,1.97
1046476,CA_2,HOUSEHOLD_2_439,11308,5.34
894285,CA_2,HOUSEHOLD_1_317,11614,1.96
6098500,WI_2,FOODS_3_616,11222,2.98
5627576,WI_2,HOUSEHOLD_1_147,11111,1.27
1642048,CA_3,HOUSEHOLD_2_270,11252,5.34
1532333,CA_3,HOUSEHOLD_1_325,11105,3.32
3598869,TX_2,HOUSEHOLD_1_279,11411,0.97
6566126,WI_3,FOODS_2_006,11506,10.97
165224,CA_1,HOUSEHOLD_1_160,11414,9.97
4241937,TX_3,HOUSEHOLD_1_015,11244,4.88
1401247,CA_3,HOBBIES_1_294,11314,3.88
4978703,WI_1,HOUSEHOLD_1_222,11439,9.97
501573,CA_1,FOODS_2_355,11516,2.77
6142630,WI_2,FOODS_3_817,11445,2.88
3745627,TX_2,HOUSEHOLD_2_380,11611,5.27
6600910,WI_3,FOODS_2_160,11211,2.88
479256,CA_1,FOODS_2_260,11422,2.97
4705556,TX_3,FOODS_3_398,11142,5.98
2774363,TX_1,HOBBIES_1_293,11502,3.68
46043,CA_1,HOBBIES_1_207,11431,2.78
3304581,TX_1,FOODS_3_366,11501,1.74
3795281,TX_2,FOODS_1_071,11612,2.0
982440,CA_2,HOUSEHOLD_2_169,11434,5.84
767799,CA_2,HOBBIES_1_309,11618,5.12
3477636,TX_2,HOBBIES_1_307,11335,3.97
16764,CA_1,HOBBIES_1_074,11201,3.67
2940391,TX_1,HOUSEHOLD_1_474,11546,0.97
593584,CA_1,FOODS_3_361,11514,1.98
5240499,WI_1,FOODS_2_113,11441,2.88
5215387,WI_1,FOODS_1_199,11310,6.86
3468071,TX_2,HOBBIES_1_266,11216,4.66
3193800,TX_1,FOODS_2_282,11431,6.98
1914538,CA_3,FOODS_3_315,11341,1.74
5678330,WI_2,HOUSEHOLD_1_390,11526,1.88
4376832,TX_3,HOUSEHOLD_2_091,11239,8.47
6459332,WI_3,HOUSEHOLD_2_288,11504,3.97
1393321,CA_3,HOBBIES_1_258,11339,11.78
5054228,WI_1,HOUSEHOLD_2_035,11129,6.47
681203,CA_1,FOODS_3_752,11330,0.2
5898710,WI_2,FOODS_2_074,11353,2.5
5134152,WI_1,HOUSEHOLD_2_373,11605,4.66
1677661,CA_3,HOUSEHOLD_2_423,11148,3.27
6718371,WI_3,FOODS_3_281,11430,1.25
2721318,TX_1,HOBBIES_1_053,11536,3.97
2824376,TX_1,HOBBIES_2_087,11621,0.97
1137439,CA_2,FOODS_2_201,11443,5.63
1807374,CA_3,FOODS_2_242,11317,2.5
74479,CA_1,HOBBIES_1_329,11146,3.97
5976935,WI_2,FOODS_3_067,11546,3.98
5395389,WI_1,FOODS_3_489,11411,1.98
4396577,TX_3,HOUSEHOLD_2_178,11252,6.97
3311515,TX_1,FOODS_3_395,11526,3.98
2616585,CA_4,FOODS_3_410,11340,2.68
6269218,WI_3,HOBBIES_2_127,11323,3.97
5565891,WI_2,HOBBIES_2_013,11311,7.47
1797906,CA_3,FOODS_2_201,11448,5.63
3259364,TX_1,FOODS_3_173,11537,11.82
685583,CA_1,FOODS_3_771,11320,2.5
6837804,WI_3,FOODS_3_813,11547,4.5
5956849,WI_2,FOODS_2_368,11508,7.87
5946702,WI_2,FOODS_2_318,11251,4.97
5960237,WI_2,FOODS_2_385,11450,2.62
5913705,WI_2,FOODS_2_152,11228,2.42
5528039,WI_2,HOBBIES_1_277,11344,1.77
3530682,TX_2,HOBBIES_2_117,11118,2.58
66354,CA_1,HOBBIES_1_297,11117,15.28
1298462,CA_2,FOODS_3_655,11506,1.98
5569895,WI_2,HOBBIES_2_033,11316,2.77
3754297,TX_2,HOUSEHOLD_2_420,11551,5.64
930472,CA_2,HOUSEHOLD_1_485,11304,2.97
2844736,TX_1,HOUSEHOLD_1_033,11438,4.47
2298654,CA_4,HOUSEHOLD_2_141,11552,4.98
2572293,CA_4,FOODS_3_218,11534,2.0
1636050,CA_3,HOUSEHOLD_2_245,11326,1.97
973816,CA_2,HOUSEHOLD_2_133,11421,4.97
2040802,CA_4,HOBBIES_1_048,11530,0.48
382250,CA_1,FOODS_1_055,11526,4.38
4982510,WI_1,HOUSEHOLD_1_241,11442,7.94
2980010,TX_1,HOUSEHOLD_2_106,11449,8.44
4196126,TX_3,HOBBIES_1_383,11536,2.98
6066916,WI_2,FOODS_3_470,11504,1.74
2902092,TX_1,HOUSEHOLD_1_297,11409,7.94
5059322,WI_1,HOUSEHOLD_2_055,11335,8.97
650425,CA_1,FOODS_3_614,11228,1.0
4378851,TX_3,HOUSEHOLD_2_099,11130,5.94
5822326,WI_2,HOUSEHOLD_2_475,11315,4.97
6131441,WI_2,FOODS_3_767,11124,1.0
5258749,WI_1,FOODS_2_215,11531,1.74
462005,CA_1,FOODS_2_183,11145,8.67
6581462,WI_3,FOODS_2_071,11413,4.48
2608619,CA_4,FOODS_3_377,11221,1.58
6160284,WI_3,HOBBIES_1_066,11509,1.25
6353849,WI_3,HOUSEHOLD_1_368,11202,7.98
1852692,CA_3,FOODS_3_045,11106,3.98
2899968,TX_1,HOUSEHOLD_1_288,11306,8.47
3891554,TX_2,FOODS_2_265,11540,3.76
5909503,WI_2,FOODS_2_131,11239,5.98
826322,CA_2,HOBBIES_2_144,11346,0.57
2835642,TX_1,HOBBIES_2_140,11551,2.47
4703785,TX_3,FOODS_3_391,11134,2.5
6317182,WI_3,HOUSEHOLD_1_191,11516,2.96
438821,CA_1,FOODS_2_077,11535,6.48
1737721,CA_3,FOODS_1_156,11529,2.24
3409740,TX_2,HOBBIES_1_006,11245,1.0
6694381,WI_3,FOODS_3_177,11209,2.98
3594155,TX_2,HOUSEHOLD_1_256,11402,5.97
1546171,CA_3,HOUSEHOLD_1_387,11152,2.97
5588959,WI_2,HOBBIES_2_120,11325,2.47
2355770,CA_4,HOUSEHOLD_2_388,11336,6.97
1229196,CA_2,FOODS_3_328,11510,3.88
1336654,CA_3,HOBBIES_1_005,11221,2.98
250656,CA_1,HOUSEHOLD_2_016,11418,1.87
573579,CA_1,FOODS_3_275,11619,2.56
4382423,TX_3,HOUSEHOLD_2_115,11416,3.78
4059300,TX_2,FOODS_3_598,11613,1.98
4846847,WI_1,HOBBIES_1_207,11250,2.62
4355392,TX_3,HOUSEHOLD_1_540,11505,1.64
3661288,TX_2,HOUSEHOLD_2_024,11525,2.22
3188007,TX_1,FOODS_2_256,11502,5.62
5078542,WI_1,HOUSEHOLD_2_139,11324,5.84
6534303,WI_3,FOODS_1_090,11206,3.28
1191206,CA_2,FOODS_3_152,11536,2.68
2264487,CA_4,HOUSEHOLD_1_535,11103,6.97
1702743,CA_3,FOODS_1_010,11552,5.64
5525851,WI_2,HOBBIES_1_267,11528,2.88
6121450,WI_2,FOODS_3_721,11101,1.98
3130136,TX_1,FOODS_2_001,11201,1.76
3531445,TX_2,HOBBIES_2_119,11521,2.97
1105743,CA_2,FOODS_1_172,11616,1.98
1693566,CA_3,HOUSEHOLD_2_486,11519,5.97
6635468,WI_3,FOODS_2_311,11115,2.76
2778723,TX_1,HOBBIES_1_310,11404,4.98
180801,CA_1,HOUSEHOLD_1_230,11520,3.28
5183938,WI_1,FOODS_1_065,11519,3.54
2674298,CA_4,FOODS_3_671,11346,1.98
4447644,TX_3,HOUSEHOLD_2_393,11414,5.08
236692,CA_1,HOUSEHOLD_1_494,11350,7.97
6598378,WI_3,FOODS_2_148,11611,2.5
4020867,TX_2,FOODS_3_430,11510,5.98
6057746,WI_2,FOODS_3_431,11226,1.0
3976731,TX_2,FOODS_3_240,11526,1.0
1365183,CA_3,HOBBIES_1_130,11334,2.73
2032002,CA_4,HOBBIES_1_010,11502,2.97
129259,CA_1,HOBBIES_2_148,11226,0.77
3287101,TX_1,FOODS_3_291,11230,2.5
5812329,WI_2,HOUSEHOLD_2_435,11217,5.97
1439785,CA_3,HOBBIES_2_034,11306,2.97
687172,CA_1,FOODS_3_778,11548,2.28
4490653,TX_3,FOODS_1_057,11447,2.24
3062941,TX_1,HOUSEHOLD_2_457,11239,6.27
1188643,CA_2,FOODS_3_141,11104,2.78
6334130,WI_3,HOUSEHOLD_1_277,11514,0.98
1621888,CA_3,HOUSEHOLD_2_189,11345,14.48
6046593,WI_2,FOODS_3_382,11440,1.78
1305726,CA_2,FOODS_3_686,11511,3.88
4810919,WI_1,HOBBIES_1_042,11335,7.48
6197114,WI_3,HOBBIES_1_234,11515,0.3
6445016,WI_3,HOUSEHOLD_2_231,11127,3.97
1151359,CA_2,FOODS_2_338,11506,2.97
4676096,TX_3,FOODS_3_270,11421,2.98
1568738,CA_3,HOUSEHOLD_1_494,11445,7.97
6503651,WI_3,HOUSEHOLD_2_478,11545,4.94
2536795,CA_4,FOODS_3_059,11222,2.28
5560245,WI_2,HOBBIES_1_415,11148,6.68
3580804,TX_2,HOUSEHOLD_1_191,11210,3.28
698361,CA_1,FOODS_3_827,11523,1.0
1166639,CA_2,FOODS_3_037,11428,2.5
246895,CA_1,HOUSEHOLD_2_001,11443,6.77
6152432,WI_3,HOBBIES_1_031,11309,10.98
566829,CA_1,FOODS_3_245,11334,1.98
1723262,CA_3,FOODS_1_095,11130,2.82
1603432,CA_3,HOUSEHOLD_2_106,11520,8.44
5315815,WI_1,FOODS_3_118,11139,1.18
6666357,WI_3,FOODS_3_049,11245,4.68
428870,CA_1,FOODS_2_036,11331,3.33
3584391,TX_2,HOUSEHOLD_1_206,11403,4.98
2638200,CA_4,FOODS_3_505,11329,3.48
1046138,CA_2,HOUSEHOLD_2_438,11204,8.97
2770976,TX_1,HOBBIES_1_278,11235,0.54
2499450,CA_4,FOODS_2_289,11537,2.5
2324462,CA_4,HOUSEHOLD_2_252,11148,6.97
3199549,TX_1,FOODS_2_306,11548,3.98
4353933,TX_3,HOUSEHOLD_1_533,11414,4.97
5760470,WI_2,HOUSEHOLD_2_216,11446,6.94
6198346,WI_3,HOBBIES_1_239,11215,2.97
131699,CA_1,HOUSEHOLD_1_008,11528,5.47
4119860,TX_3,HOBBIES_1_043,11242,0.72
335088,CA_1,HOUSEHOLD_2_376,11108,3.27
5771480,WI_2,HOUSEHOLD_2_259,11437,7.97
4914443,WI_1,HOBBIES_2_078,11228,6.97
503490,CA_1,FOODS_2_363,11518,2.5
4829916,WI_1,HOBBIES_1_128,11510,8.77
4758995,TX_3,FOODS_3_638,11316,1.5
6769101,WI_3,FOODS_3_501,11233,0.88
2587000,CA_4,FOODS_3_282,11448,2.5
2719369,TX_1,HOBBIES_1_044,11247,1.48
5966641,WI_2,FOODS_3_017,11539,1.98
28807,CA_1,HOBBIES_1_128,11238,8.77
1461644,CA_3,HOBBIES_2_134,11504,4.97
3748336,TX_2,HOUSEHOLD_2_393,11235,5.08
3680145,TX_2,HOUSEHOLD_2_104,11522,4.97
3710761,TX_2,HOUSEHOLD_2_236,11221,8.48
2137344,CA_4,HOBBIES_2_079,11605,2.47
3878008,TX_2,FOODS_2_206,11336,10.98
6211401,WI_3,HOBBIES_1_296,11530,7.38
1686339,CA_3,HOUSEHOLD_2_456,11621,8.86
3568985,TX_2,HOUSEHOLD_1_139,11524,4.98
5412384,WI_1,FOODS_3_571,11621,9.44
6792001,WI_3,FOODS_3_608,11145,1.98
2705680,CA_4,FOODS_3_814,11302,1.88
3737035,TX_2,HOUSEHOLD_2_346,11316,3.33
1357373,CA_3,HOBBIES_1_093,11422,20.38
504273,CA_1,FOODS_2_367,11313,4.84
5431038,WI_1,FOODS_3_659,11419,2.98
4992151,WI_1,HOUSEHOLD_1_290,11448,9.84
4105444,TX_2,FOODS_3_808,11539,0.94
5156287,WI_1,HOUSEHOLD_2_466,11323,6.97
4156899,TX_3,HOBBIES_1_214,11442,9.88
3803993,TX_2,FOODS_1_107,11104,6.0
1215574,CA_2,FOODS_3_267,11106,1.98
5126403,WI_1,HOUSEHOLD_2_341,11142,5.27
4861250,WI_1,HOBBIES_1_272,11206,8.44
6375076,WI_3,HOUSEHOLD_1_465,11605,0.97
3010116,TX_1,HOUSEHOLD_2_236,11210,8.48
6547891,WI_3,FOODS_1_146,11608,2.24
1490386,CA_3,HOUSEHOLD_1_120,11618,4.47
199821,CA_1,HOUSEHOLD_1_325,11111,3.32
1942760,CA_3,FOODS_3_438,11445,1.0
5557198,WI_2,HOBBIES_1_403,11338,13.68
3716652,TX_2,HOUSEHOLD_2_259,11101,7.67
1757109,CA_3,FOODS_2_021,11105,0.64
3991236,TX_2,FOODS_3_303,11206,2.98
5460053,WI_1,FOODS_3_797,11448,3.98
350085,CA_1,HOUSEHOLD_2_439,11348,5.34
5944597,WI_2,FOODS_2_308,11403,2.68
4897410,WI_1,HOBBIES_2_001,11231,5.97
5076286,WI_1,HOUSEHOLD_2_130,11532,7.97
2535948,CA_4,FOODS_3_055,11508,2.98
1078534,CA_2,FOODS_1_055,11226,4.22
4001746,TX_2,FOODS_3_346,11548,1.98
2050482,CA_4,HOBBIES_1_094,11327,12.97
3045617,TX_1,HOUSEHOLD_2_385,11138,6.97
6504629,WI_3,HOUSEHOLD_2_482,11421,5.94
625414,CA_1,FOODS_3_497,11518,2.5
1802333,CA_3,FOODS_2_221,11445,1.0
4643687,TX_3,FOODS_3_128,11304,2.98
1582790,CA_3,HOUSEHOLD_2_018,11610,7.94
5393069,WI_1,FOODS_3_479,11441,1.0
2936393,TX_1,HOUSEHOLD_1_458,11203,2.48
4528605,TX_3,FOODS_1_217,11147,3.28
648454,CA_1,FOODS_3_605,11353,2.48
5041819,WI_1,HOUSEHOLD_1_520,11319,5.48
1073670,CA_2,FOODS_1_035,11617,2.68
1708713,CA_3,FOODS_1_035,11152,2.23
827163,CA_2,HOBBIES_2_147,11607,0.97
2433292,CA_4,FOODS_1_208,11413,1.78
6225525,WI_3,HOBBIES_1_355,11523,4.38
550746,CA_1,FOODS_3_177,11544,2.88
4265039,TX_3,HOUSEHOLD_1_120,11402,4.44
424401,CA_1,FOODS_2_016,11239,1.14
2821669,TX_1,HOBBIES_2_074,11606,3.97
1104511,CA_2,FOODS_1_167,11514,4.86
2933195,TX_1,HOUSEHOLD_1_440,11537,14.97
3637849,TX_2,HOUSEHOLD_1_461,11309,0.97
2016276,CA_3,FOODS_3_768,11612,1.98
3350114,TX_1,FOODS_3_565,11537,2.5
6250079,WI_3,HOBBIES_2_038,11611,0.97
6539156,WI_3,FOODS_1_110,11350,1.5
1478372,CA_3,HOUSEHOLD_1_064,11535,5.78
734795,CA_2,HOBBIES_1_161,11447,0.68
4111261,TX_3,HOBBIES_1_007,11436,7.88
460174,CA_1,FOODS_2_174,11542,2.82
6498248,WI_3,HOUSEHOLD_2_455,11515,7.74
4838223,WI_1,HOBBIES_1_165,11323,4.97
285339,CA_1,HOUSEHOLD_2_166,11203,9.47
638920,CA_1,FOODS_3_560,11616,2.88
3424023,TX_2,HOBBIES_1_067,11342,0.54
2904930,TX_1,HOUSEHOLD_1_312,11239,2.37
5128200,WI_1,HOUSEHOLD_2_349,11138,4.47
5567859,WI_2,HOBBIES_2_022,11251,4.97
403791,CA_1,FOODS_1_146,11441,2.24
6522520,WI_3,FOODS_1_041,11550,2.24
2201096,CA_4,HOUSEHOLD_1_230,11311,3.28
18567,CA_1,HOBBIES_1_080,11514,0.57
1277345,CA_2,FOODS_3_555,11110,1.48
5754887,WI_2,HOUSEHOLD_2_193,11324,4.94
5198757,WI_1,FOODS_1_128,11109,3.18
2949020,TX_1,HOUSEHOLD_1_514,11444,3.5
4913626,WI_1,HOBBIES_2_074,11611,3.97
6551338,WI_3,FOODS_1_163,11535,0.98
1421836,CA_3,HOBBIES_1_380,11228,1.77
5909007,WI_2,FOODS_2_128,11336,0.88
5984678,WI_2,FOODS_3_102,11542,1.98
3004639,TX_1,HOUSEHOLD_2_214,11126,6.94
5227183,WI_1,FOODS_2_037,11612,7.98
1563378,CA_3,HOUSEHOLD_1_470,11246,2.98
719846,CA_2,HOBBIES_1_093,11331,20.38
5437387,WI_1,FOODS_3_686,11547,3.57
1886594,CA_3,FOODS_3_195,11426,2.68
2962883,TX_1,HOUSEHOLD_2_034,11111,11.97
2405954,CA_4,FOODS_1_088,11411,4.74
3318413,TX_1,FOODS_3_424,11621,3.88
6102798,WI_2,FOODS_3_635,11310,1.0
4318741,TX_3,HOUSEHOLD_1_369,11344,3.54
2810204,TX_1,HOBBIES_2_019,11616,3.37
982230,CA_2,HOUSEHOLD_2_168,11409,6.94
719446,CA_2,HOBBIES_1_091,11515,0.7
1079016,CA_2,FOODS_1_057,11538,2.24
6747358,WI_3,FOODS_3_406,11442,0.8
3781213,TX_2,FOODS_1_014,11544,0.98
2143227,CA_4,HOBBIES_2_110,11406,5.97
358445,CA_1,HOUSEHOLD_2_473,11104,7.47
843087,CA_2,HOUSEHOLD_1_072,11518,7.98
1283621,CA_2,FOODS_3_584,11317,1.0
746566,CA_2,HOBBIES_1_216,11433,1.77
1355782,CA_3,HOBBIES_1_086,11306,8.26
4784826,TX_3,FOODS_3_756,11220,2.68
6526027,WI_3,FOODS_1_055,11425,3.98
1665789,CA_3,HOUSEHOLD_2_370,11613,6.27
2759045,TX_1,HOBBIES_1_226,11523,13.98
3590642,TX_2,HOUSEHOLD_1_236,11244,2.64
5814216,WI_2,HOUSEHOLD_2_442,11143,1.48
4500461,TX_3,FOODS_1_097,11605,0.98
4713635,TX_3,FOODS_3_433,11437,1.0
1976506,CA_3,FOODS_3_587,11106,2.48
1364512,CA_3,HOBBIES_1_127,11528,1.22
6602178,WI_3,FOODS_2_164,11616,3.18
4602247,TX_3,FOODS_2_338,11526,2.97
2002490,CA_3,FOODS_3_705,11544,3.88
2026878,CA_3,FOODS_3_815,11529,2.48
2842548,TX_1,HOUSEHOLD_1_021,11336,1.87
1766075,CA_3,FOODS_2_059,11518,5.98
5507553,WI_2,HOBBIES_1_183,11544,7.98
2060716,CA_4,HOBBIES_1_142,11615,0.94
620956,CA_1,FOODS_3_479,11410,1.0
2829775,TX_1,HOBBIES_2_114,11604,1.97
6447292,WI_3,HOUSEHOLD_2_239,11350,1.24
5793778,WI_2,HOUSEHOLD_2_354,11441,0.97
5644149,WI_2,HOUSEHOLD_1_224,11608,7.97
3592258,TX_2,HOUSEHOLD_1_247,11345,0.97
5549853,WI_2,HOBBIES_1_370,11340,0.46
5291626,WI_1,FOODS_2_397,11518,3.28
4182995,TX_3,HOBBIES_1_326,11430,1.97
3458028,TX_2,HOBBIES_1_221,11249,2.97
2182235,CA_4,HOUSEHOLD_1_141,11413,1.77
1748613,CA_3,FOODS_1_204,11353,0.98
4852772,WI_1,HOBBIES_1_234,11349,0.3
5565164,WI_2,HOBBIES_2_009,11518,5.97
1684150,CA_3,HOUSEHOLD_2_447,11539,1.97
3445022,TX_2,HOBBIES_1_160,11501,18.46
3986080,TX_2,FOODS_3_281,11245,1.18
1440262,CA_3,HOBBIES_2_036,11403,0.97
2901945,TX_1,HOUSEHOLD_1_297,11119,8.48
4537761,TX_3,FOODS_2_037,11213,6.98
457609,CA_1,FOODS_2_163,11541,2.5
6766937,WI_3,FOODS_3_492,11243,2.98
1164785,CA_2,FOODS_3_029,11111,1.25
4781048,TX_3,FOODS_3_738,11527,1.48
2491038,CA_4,FOODS_2_249,11549,3.28
6033043,WI_2,FOODS_3_319,11118,1.0
1373074,CA_3,HOBBIES_1_165,11230,4.97
1398354,CA_3,HOBBIES_1_280,11232,10.52
4650860,TX_3,FOODS_3_160,11124,2.48
490584,CA_1,FOODS_2_309,11346,2.64
863556,CA_2,HOUSEHOLD_1_167,11517,2.74
1842319,CA_3,FOODS_2_395,11548,3.48
4525107,TX_3,FOODS_1_203,11248,2.24
4849041,WI_1,HOBBIES_1_216,11530,1.77
4869018,WI_1,HOBBIES_1_304,11252,3.98
6294369,WI_3,HOUSEHOLD_1_090,11317,2.96
1372555,CA_3,HOBBIES_1_163,11309,9.42
2540024,CA_4,FOODS_3_073,11529,2.98
4575446,TX_3,FOODS_2_216,11605,5.96
1118804,CA_2,FOODS_2_020,11546,2.5
6606057,WI_3,FOODS_2_182,11345,1.88
2875142,TX_1,HOUSEHOLD_1_170,11314,1.96
2165789,CA_4,HOUSEHOLD_1_067,11414,4.47
1556657,CA_3,HOUSEHOLD_1_438,11116,6.88
4076670,TX_2,FOODS_3_677,11332,3.98
5426974,WI_1,FOODS_3_642,11425,3.48
2076317,CA_4,HOBBIES_1_219,11529,1.74
4072276,TX_2,FOODS_3_659,11402,2.98
5402923,WI_1,FOODS_3_526,11250,1.98
2287596,CA_4,HOUSEHOLD_2_093,11128,3.27
3771766,TX_2,HOUSEHOLD_2_490,11539,3.48
3636958,TX_2,HOUSEHOLD_1_457,11552,10.47
6005921,WI_2,FOODS_3_201,11112,2.38
2649760,CA_4,FOODS_3_560,11345,2.88
6538260,WI_3,FOODS_1_106,11545,3.54
4698524,TX_3,FOODS_3_367,11314,2.68
3451490,TX_2,HOBBIES_1_191,11543,8.97
5670126,WI_2,HOUSEHOLD_1_353,11441,3.44
1195938,CA_2,FOODS_3_177,11119,2.98
672700,CA_1,FOODS_3_714,11107,1.48
3649050,TX_2,HOUSEHOLD_1_511,11248,5.97
5048970,WI_1,HOUSEHOLD_2_013,11122,5.94
4696673,TX_3,FOODS_3_357,11530,3.98
5195939,WI_1,FOODS_1_116,11148,2.48
4637717,TX_3,FOODS_3_101,11447,1.0
6699156,WI_3,FOODS_3_198,11330,4.98
5301844,WI_1,FOODS_3_050,11451,2.18
2959564,TX_1,HOUSEHOLD_2_019,11544,9.47
3999499,TX_2,FOODS_3_336,11418,2.18
4955833,WI_1,HOUSEHOLD_1_118,11419,0.97
2968052,TX_1,HOUSEHOLD_2_054,11439,4.87
3962899,TX_2,FOODS_3_182,11440,1.98
3217260,TX_1,FOODS_2_382,11301,3.68
5366983,WI_1,FOODS_3_358,11328,2.88
3032778,TX_1,HOUSEHOLD_2_329,11533,2.72
